neutral_site,home_team,home_points,away_team,away_points
false,Western Kentucky,38,Austin Peay,27
true,Northwestern,31,Nebraska,28
false,UNLV,52,Idaho State,21
false,Illinois,38,Wyoming,6
false,Utah State,31,Connecticut,20
false,Florida State,47,Duquesne,7
false,Florida Atlantic,43,Charlotte,13
false,North Carolina,56,Florida A&M,24
false,UTEP,13,North Texas,31
false,New Mexico State,12,Nevada,23
false,Hawai'i,10,Vanderbilt,63
false,Akron,30,St Francis (PA),23
false,Tennessee,59,Ball State,10
false,Oklahoma State,58,Central Michigan,44
false,UCF,56,South Carolina State,10
false,Florida International,38,Bryant,37
false,Pittsburgh,38,West Virginia,31
false,Toledo,37,Long Island University,0
false,Wake Forest,44,VMI,10
false,UAB,59,Alabama A&M,0
false,Missouri,52,Louisiana Tech,24
false,Northern Illinois,34,Eastern Illinois,27
false,Purdue,31,Penn State,35
false,Minnesota,38,New Mexico State,0
false,Arizona State,40,Northern Arizona,3
false,Fresno State,35,Cal Poly,7
false,San José State,21,Portland State,17
false,Charlotte,24,William & Mary,41
false,Michigan State,35,Western Michigan,13
false,Eastern Michigan,42,Eastern Kentucky,34
false,Old Dominion,20,Virginia Tech,17
false,Duke,30,Temple,0
false,Indiana,23,Illinois,20
false,Kansas,56,Tennessee Tech,10
false,Colorado,13,TCU,38
false,East Carolina,20,NC State,21
false,Navy,7,Delaware,14
false,Maryland,31,Buffalo,10
false,Iowa,7,South Dakota State,3
false,Connecticut,28,Central Connecticut,3
false,Boston College,21,Rutgers,22
false,Texas A&M,31,Sam Houston State,0
false,Appalachian State,61,North Carolina,63
false,Michigan,51,Colorado State,7
false,Virginia,34,Richmond,17
false,Air Force,48,Northern Iowa,17
false,Iowa State,42,Southeast Missouri State,10
false,UCLA,45,Bowling Green,17
false,Miami,70,Bethune-Cookman,13
false,Oklahoma,45,UTEP,13
false,UT San Antonio,35,Houston,37
false,Marshall,55,Norfolk State,3
false,Arkansas,31,Cincinnati,24
false,Wyoming,40,Tulsa,37
true,Georgia,49,Oregon,3
false,San Diego State,20,Arizona,38
false,Nebraska,38,North Dakota,17
false,California,34,UC Davis,13
false,Ole Miss,28,Troy,10
false,South Florida,21,BYU,50
false,South Alabama,48,Nicholls,7
false,Nevada,38,Texas State,14
false,Georgia Southern,59,Morgan State,7
false,USC,66,Rice,14
false,James Madison,44,Middle Tennessee,7
false,Ohio,41,Florida Atlantic,38
false,Coastal Carolina,38,Army,28
false,Kentucky,37,Miami (OH),13
false,Florida,29,Utah,26
false,Arkansas State,58,Grambling,3
false,Auburn,42,Mercer,16
false,Vanderbilt,42,Elon,31
false,Kansas State,34,South Dakota,0
false,Tulane,42,UMass,10
false,Southern Mississippi,27,Liberty,29
false,Baylor,69,Albany,10
false,Wisconsin,38,Illinois State,0
false,Louisiana,24,Southeastern Louisiana,7
false,Ohio State,21,Notre Dame,10
false,North Texas,10,SMU,48
false,Mississippi State,49,Memphis,23
false,South Carolina,35,Georgia State,14
false,Alabama,55,Utah State,0
false,Texas Tech,63,Murray State,10
false,Stanford,41,Colgate,10
false,Texas,52,Louisiana Monroe,10
false,Syracuse,31,Louisville,7
false,New Mexico,41,Maine,0
false,Washington State,24,Idaho,17
false,Washington,45,Kent State,20
false,Oregon State,34,Boise State,17
false,Hawai'i,17,Western Kentucky,49
true,Florida State,24,LSU,23
true,Georgia Tech,10,Clemson,41
false,UCF,14,Louisville,20
false,New Mexico,14,Boise State,31
false,Arkansas,44,South Carolina,30
false,Minnesota,62,Western Illinois,10
false,Northwestern,23,Duke,31
false,Georgia State,28,North Carolina,35
false,Army,38,UT San Antonio,41
false,Kansas State,40,Missouri,12
false,Miami,30,Southern Mississippi,7
false,Penn State,46,Ohio,10
false,Vanderbilt,25,Wake Forest,45
false,Texas,19,Alabama,20
false,Ohio State,45,Arkansas State,12
false,NC State,55,Charleston Southern,3
false,Central Michigan,24,South Alabama,38
false,Utah,73,Southern Utah,7
false,Ball State,30,Western Michigan,37
false,Temple,30,Lafayette,14
false,Notre Dame,21,Marshall,26
false,Wisconsin,14,Washington State,17
false,Air Force,41,Colorado,10
false,Navy,13,Memphis,37
false,Charlotte,21,Maryland,56
false,Pittsburgh,27,Tennessee,34
false,Cincinnati,63,Kennesaw State,10
false,Clemson,35,Furman,12
false,Texas A&M,14,Appalachian State,17
false,Purdue,56,Indiana State,0
false,James Madison,63,Norfolk State,7
false,Rutgers,66,Wagner,7
false,Michigan State,52,Akron,0
false,Georgia,33,Samford,0
false,California,20,UNLV,14
false,Texas Tech,33,Houston,30
false,Iowa,7,Iowa State,10
false,Illinois,24,Virginia,3
false,Wyoming,33,Northern Colorado,10
false,Washington,52,Portland State,6
false,Bowling Green,57,Eastern Kentucky,59
false,Colorado State,19,Middle Tennessee,34
false,UCLA,45,Alabama State,7
false,Nevada,41,Incarnate Word,55
false,Miami (OH),31,Robert Morris,14
false,West Virginia,42,Kansas,55
false,Coastal Carolina,31,Gardner-Webb,27
false,East Carolina,39,Old Dominion,21
false,Buffalo,31,Holy Cross,37
false,Liberty,21,UAB,14
false,Florida Atlantic,42,Southeastern Louisiana,9
false,Toledo,55,UMass,10
false,Louisiana Tech,52,Stephen F. Austin,17
false,Utah State,7,Weber State,35
false,Florida,16,Kentucky,26
false,Tulane,52,Alcorn State,0
false,Texas State,41,Florida International,12
false,South Florida,42,Howard,20
false,SMU,45,Lamar,16
false,Connecticut,14,Syracuse,48
false,Georgia Tech,35,Western Carolina,17
false,Oklahoma,33,Kent State,3
false,Louisiana,49,Eastern Michigan,21
false,Tulsa,38,Northern Illinois,35
false,Troy,38,Alabama A&M,17
false,Ole Miss,59,Central Arkansas,3
false,Nebraska,42,Georgia Southern,45
false,Oklahoma State,34,Arizona State,17
false,North Texas,59,Texas Southern,27
false,Rice,52,McNeese,10
false,Auburn,24,San José State,16
false,LSU,65,Southern,17
false,Stanford,28,USC,41
false,Michigan,56,Hawai'i,10
false,San Diego State,38,Idaho State,7
false,Virginia Tech,27,Boston College,10
false,TCU,59,Tarleton State,17
false,Indiana,35,Idaho,22
false,Louisiana Monroe,35,Nicholls,7
false,Oregon,70,Eastern Washington,14
false,UTEP,20,New Mexico State,13
false,BYU,26,Baylor,20
false,Fresno State,32,Oregon State,35
false,Arizona,17,Mississippi State,39
false,Louisville,31,Florida State,35
false,Wyoming,17,Air Force,14
false,Virginia Tech,27,Wofford,7
false,Syracuse,32,Purdue,29
false,Kent State,63,Long Island University,10
false,Army,49,Villanova,10
false,Northwestern,24,Southern Illinois,31
false,Missouri,34,Abilene Christian,17
false,South Carolina,7,Georgia,48
false,Michigan,59,Connecticut,0
false,Baylor,42,Texas State,7
true,Miami (OH),17,Cincinnati,38
false,Indiana,33,Western Kentucky,30
false,Nebraska,14,Oklahoma,49
false,Kentucky,31,Youngstown State,0
false,Central Michigan,41,Bucknell,0
false,West Virginia,65,Towson,7
false,Coastal Carolina,38,Buffalo,26
false,Iowa State,43,Ohio,10
false,UCLA,32,South Alabama,31
false,Temple,14,Rutgers,16
false,Virginia,16,Old Dominion,14
false,Ball State,31,Murray State,0
false,Notre Dame,24,California,17
false,Kansas State,10,Tulane,17
false,UNLV,58,North Texas,27
false,Northern Illinois,28,Vanderbilt,38
false,Georgia Tech,0,Ole Miss,42
false,Appalachian State,32,Troy,28
false,UAB,35,Georgia Southern,21
false,Auburn,12,Penn State,41
false,Wisconsin,66,New Mexico State,7
false,UMass,20,Stony Brook,3
false,Oregon,41,BYU,20
false,Minnesota,49,Colorado,7
false,Boise State,30,UT Martin,7
false,Alabama,63,Louisiana Monroe,7
false,Houston,30,Kansas,48
false,Washington State,38,Colorado State,7
false,Wake Forest,37,Liberty,36
false,Bowling Green,34,Marshall,31
false,LSU,31,Mississippi State,16
false,East Carolina,49,Campbell,10
false,Duke,49,North Carolina A&T,20
false,Georgia State,41,Charlotte,42
false,NC State,27,Texas Tech,14
false,Ohio State,77,Toledo,21
false,Memphis,44,Arkansas State,32
false,Middle Tennessee,49,Tennessee State,6
false,Oklahoma State,63,Arkansas-Pine Bluff,7
false,Arkansas,38,Missouri State,27
false,Tennessee,63,Akron,6
false,Tulsa,54,Jacksonville State,17
false,Southern Mississippi,64,Northwestern State,10
false,Florida,31,South Florida,28
false,Florida Atlantic,14,UCF,40
false,Maryland,34,SMU,27
false,Boston College,38,Maine,17
false,Washington,39,Michigan State,28
false,Western Michigan,13,Pittsburgh,34
false,Iowa,27,Nevada,0
false,Rice,33,Louisiana,21
false,Texas,41,UT San Antonio,20
